As of Date,Fund Name,Donor Name,Donor Country Code,Receipt Type,Receipt Quarter,Calendar Year,Receipt Currency,Receipt Amount,Contribution Type,Sub Account,Amount in USD,Sector/Theme
2013-12-31T00:00:00,Global Environment Facility,Switzerland,CH,Note,APR-JUN,1999,XDR,7992500,Grant,GF01,10790274.63,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Switzerland,CH,Note,APR-JUN,1999,XDR,7992500,Grant,GF01,10790274.63,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Cote d'Ivoire,CI,Note,OCT-DEC,1994,XDR,1000000,Grant,GF01,1000000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Cote d'Ivoire,CI,Note,APR-JUN,1999,XDR,1000000,Grant,GF01,1350050,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Cote d'Ivoire,CI,Note,APR-JUN,1999,XDR,1000000,Grant,GF01,1350050,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Cote d'Ivoire,CI,Note,APR-JUN,1999,XDR,1000000,Grant,GF01,1350050,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,China,CN,Cash,OCT-DEC,1994,USD,4803396,Grant,GF01,4803396,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Czech Republic,CZ,Cash,OCT-DEC,1994,USD,1459240,Grant,GF01,1459240,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Czech Republic,CZ,Cash,OCT-DEC,1995,USD,1487900,Grant,GF01,1487900,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Czech Republic,CZ,Cash,OCT-DEC,1996,USD,1448160,Grant,GF01,1448160,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Czech Republic,CZ,Cash,OCT-DEC,1997,USD,1363820,Grant,GF01,1363820,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Denmark,DK,Note,OCT-DEC,1994,XDR,6270000,Grant,GF01,6270000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Denmark,DK,Note,APR-JUN,1999,XDR,6270000,Grant,GF01,8464813.5,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Denmark,DK,Note,APR-JUN,1999,XDR,6270000,Grant,GF01,8464813.5,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Denmark,DK,Note,APR-JUN,1999,XDR,6270000,Grant,GF01,8464813.5,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,"Egypt, Arab Republic of",EG,Cash,JUL-SEP,1997,USD,1400002,Grant,GF01,1400002,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,"Egypt, Arab Republic of",EG,Cash,APR-JUN,1997,USD,695825,Grant,GF01,695825,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Spain,ES,Note,APR-JUN,1997,EUR,13102664.88,Grant,GF01,13102664.88,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Finland,FI,Cash,OCT-DEC,1994,EUR,11638032.67,Grant,GF01,11638032.67,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Finland,FI,Cash,JAN-MAR,1996,EUR,5818141.76,Grant,GF01,5818141.76,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,France,FR,Note,OCT-DEC,1994,EUR,30745536.68,Grant,GF01,30745536.68,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,France,FR,Note,APR-JUN,1999,EUR,30745536.68,Grant,GF01,31678663.72,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,France,FR,Note,APR-JUN,1999,EUR,30745536.67,Grant,GF01,32273589.84,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,France,FR,Note,APR-JUN,1999,EUR,30745536.67,Grant,GF01,32273589.84,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,United Kingdom,GB,Note,OCT-DEC,1994,GBP,22387000,Grant,GF01,22387000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,United Kingdom,GB,Note,APR-JUN,1999,GBP,22387000,Grant,GF01,35983744.45,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,United Kingdom,GB,Note,APR-JUN,1999,GBP,22387000,Grant,GF01,35983744.45,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,United Kingdom,GB,Note,APR-JUN,1999,GBP,22387000,Grant,GF01,35983744.45,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Greece,GR,Cash,OCT-DEC,1995,USD,1250000,Grant,GF01,1250000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Greece,GR,Cash,OCT-DEC,1996,USD,1250000,Grant,GF01,1250000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Greece,GR,Cash,OCT-DEC,1996,USD,1250000,Grant,GF01,1250000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Greece,GR,Cash,OCT-DEC,1997,USD,1250000,Grant,GF01,1250000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Ireland,IE,Cash,JUL-SEP,1996,EUR,1041185.23,Grant,GF01,1041185.23,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Ireland,IE,Cash,JAN-MAR,1997,EUR,520592.61,Grant,GF01,520592.61,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Ireland,IE,Cash,OCT-DEC,1997,EUR,520592.61,Grant,GF01,520592.61,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,India,IN,Cash,JUL-SEP,1995,USD,2339310,Grant,GF01,2339310,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,India,IN,Cash,OCT-DEC,1995,USD,2239635,Grant,GF01,2239635,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,India,IN,Cash,OCT-DEC,1996,USD,2172240,Grant,GF01,2172240,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,India,IN,Cash,OCT-DEC,1997,USD,2045730,Grant,GF01,2045730,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Italy,IT,Note,APR-JUN,1996,EUR,20632969.58,Grant,GF01,20632969.58,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Japan,JP,Note,APR-JUN,1999,JPY,34273567500,Grant,GF01,2896116.45,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Japan,JP,Note,JAN-MAR,1995,JPY,11424522500,Grant,GF01,114245225,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,"Korea, Republic of",KR,Cash,APR-JUN,1995,USD,1150000,Grant,GF01,1150000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,"Korea, Republic of",KR,Cash,JAN-MAR,1996,USD,2140000,Grant,GF01,2140000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,"Korea, Republic of",KR,Cash,JAN-MAR,1997,USD,2129000,Grant,GF01,2129000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,"Korea, Republic of",KR,Cash,OCT-DEC,1997,USD,79150,Grant,GF01,79150,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Luxembourg,LU,Note,APR-JUN,1997,XDR,1000000,Grant,GF01,1391710,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Luxembourg,LU,Note,APR-JUN,1999,XDR,1000000,Grant,GF01,1350050,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Luxembourg,LU,Note,APR-JUN,1999,XDR,1000000,Grant,GF01,1350050,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Luxembourg,LU,Note,APR-JUN,1999,XDR,1000000,Grant,GF01,1350050,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Mexico,MX,Cash,APR-JUN,1996,USD,1303000,Grant,GF01,1303000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Mexico,MX,Cash,JAN-MAR,1996,USD,1261285,Grant,GF01,1261285,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Mexico,MX,Cash,APR-JUN,1997,USD,1282000,Grant,GF01,1282000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Mexico,MX,Cash,APR-JUN,1998,USD,1388000,Grant,GF01,1388000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Netherlands,NL,Note,OCT-DEC,1994,XDR,5000000,Grant,GF01,5000000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Netherlands,NL,Note,OCT-DEC,1994,XDR,5000000,Grant,GF01,5000000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Netherlands,NL,Note,OCT-DEC,1994,XDR,2742500,Grant,GF01,2742500,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Netherlands,NL,Note,APR-JUN,1999,XDR,5000000,Grant,GF01,6750250,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Netherlands,NL,Note,APR-JUN,1999,XDR,5000000,Grant,GF01,6750250,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Netherlands,NL,Note,APR-JUN,1999,XDR,2742500,Grant,GF01,3702512.13,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Netherlands,NL,Note,APR-JUN,1999,XDR,5000000,Grant,GF01,6750250,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Netherlands,NL,Note,APR-JUN,1999,XDR,5000000,Grant,GF01,6750250,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Netherlands,NL,Note,APR-JUN,1999,XDR,2742500,Grant,GF01,3702512.13,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Netherlands,NL,Note,APR-JUN,1999,XDR,5000000,Grant,GF01,6750250,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Netherlands,NL,Note,APR-JUN,1999,XDR,5000000,Grant,GF01,6750250,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Netherlands,NL,Note,APR-JUN,1999,XDR,2742500,Grant,GF01,3702512.13,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Norway,NO,Note,OCT-DEC,1994,NOK,55000000,Grant,GF01,55000000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Norway,NO,Note,APR-JUN,1999,NOK,55000000,Grant,GF01,7042750,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Norway,NO,Note,APR-JUN,1999,NOK,55000000,Grant,GF01,7042750,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Norway,NO,Note,APR-JUN,1999,NOK,55000000,Grant,GF01,7042750,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,New Zealand,NZ,Note,OCT-DEC,1994,NZD,2587500,Grant,GF01,2587500,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,New Zealand,NZ,Note,APR-JUN,1999,NZD,2587500,Grant,GF01,1399578.75,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,New Zealand,NZ,Note,APR-JUN,1999,NZD,2587500,Grant,GF01,1399578.75,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,New Zealand,NZ,Note,APR-JUN,1999,NZD,2587500,Grant,GF01,1399578.75,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Pakistan,PK,Note,APR-JUN,1999,XDR,1000000,Grant,GF01,1350050,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Pakistan,PK,Note,APR-JUN,1999,XDR,1000000,Grant,GF01,1350050,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Pakistan,PK,Note,APR-JUN,1999,XDR,1000000,Grant,GF01,1350050,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Pakistan,PK,Note,APR-JUN,1999,XDR,1000000,Grant,GF01,1350050,Environment/Climate Change
